ID,Name,Image,Url,Review count,Category,Rating,Price,Latitude,Longitude,Address,City,State,Country,Phone,Review
J7_-faNq_Ag9qTOlDn81Pw,Starbelly,https://s3-media2.fl.yelpcdn.com/bphoto/G1SweY3VbKx_BqAws9RytA/o.jpg,https://www.yelp.com/biz/starbelly-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,2080,Comfort Food,4,$$,37.76402,-122.43253,3583 16th St,San Francisco,CA,US,(415) 252-7500,"[""Within 24 hours, come at whatever time you want, it doesn't matter, there are a lot of people here, and I've often come, seen a lot of people, and left.\nI'm..."", 'Really fun and open vibe in the Castro area. We started with the. White bean purée and a couple of cocktails. Our server was training, but there is a team...', 'Super cozy spot in the Castro area! The small plates were particularly good -- I really liked the potato dumplings. The pizza was alright, but next time I...']"
XAYwAF_83becwNnSJDFkpA,Dumpling House,https://s3-media2.fl.yelpcdn.com/bphoto/DNfqq1zYxbJ-gsalml7wng/o.jpg,https://www.yelp.com/biz/dumpling-house-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,331,Dim Sum,4.5,$$,37.763552,-122.432762,335 Noe St,San Francisco,CA,US,(415) 829-2789,"['Made a reservation for 2 on Monday night for Tuesday @ 7pm with ease! When we arrived, we were seated immediately. I was surprised this place existed tbh!...', 'Came back tonight for the first time in awhile. I love seeing small restaurants like this one bustling!  We came at 8pm on a Saturday (they close at 9pm),...', 'What an excellent choice by my dining partner.  Anthony, not so much a yelper, knew the 4.5 out of 5 stars would impress me. Lol.  We were BOTH pleasantly...']"
i09UMzccKgyLwGYKDVP28w,Surisan,https://s3-media3.fl.yelpcdn.com/bphoto/TRmQFBMztDCAlp_ol7IMbA/o.jpg,https://www.yelp.com/biz/surisan-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,2755,Korean,4.5,$$,37.80678,-122.41756,505 Beach St,San Francisco,CA,US,(415) 771-8449,"['Surisan is like my second home because I come here almost every time to eat 1 2 3 days a week. I really liked their bacon and the eggs were very tasty.\nI...', 'My grandmother is a very good cook But this time he wanted us to come and have lunch right here The environment was very warm We were very well received...', 'Food was good and came out fast. One employee (with glasses) had a bad attitude and initially I thought she was having an off day but the next day we came...']"
SO7w-fN6uIBUEzkakrcxoQ,Ushi Taro Ramen,https://s3-media1.fl.yelpcdn.com/bphoto/WvJPkuX4ipW7QdmOzHMbzA/o.jpg,https://www.yelp.com/biz/ushi-taro-ramen-san-francisco-3?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,382,Ramen,4.5,$$,37.76254621,-122.466103,1382 9th Ave,San Francisco,CA,US,(415) 702-6014,"['Ushi Taro is one of my Fav Five Raman houses in San Francisco\n\nAlmost a hole in the wall, this little space has only two shared tables and three counter...', 'First time eating here and tried their paitan.\nSmall portion on noodles but something new since Im a ramen aficionado.\nBroth is good and has a truffle...', '10/10 very quick and efficient \n\n7/10 spicy ramen - had a lot of flavor and big portion. Wish they had levels to spiciness because I would have wanted a...']"
OOlS_RmdMk1LHtgOQWoHoA,Tanglad,https://s3-media3.fl.yelpcdn.com/bphoto/jzNmvepv5zG5fbBOXfmtWw/o.jpg,https://www.yelp.com/biz/tanglad-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,198,Vietnamese,4.5,$$,37.761492,-122.434844,469 Castro St,San Francisco,CA,US,(415) 624-3238,"['came here with 5 friends and every single one of us liked it!! \nwe got 2 bowls of pho, pork vermicelli, 5 spice chicken rice dish, banh mi, and garlic...', 'Mildly seasoned 5-spice chicken and garlic noodles. The lemongrass beef was very well seasoned. I preferred the lemongrass beef  over the 5-spice...', 'Ordered takeout from here after seeing the many positive reviews - vegetarian pho for myself and five-spice chicken pho for my husband. Additionally, veggie...']"
H8HpIhYerU8ztF4cxurEDw,Nash Hot Chicken & Ramen,https://s3-media2.fl.yelpcdn.com/bphoto/BPuPGPnQWBaVf_Uc_jsoiA/o.jpg,https://www.yelp.com/biz/nash-hot-chicken-and-ramen-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,85,Chicken Shop,4.5,$$,37.7626533,-122.4343627,3970 17th St,San Francisco,CA,US,(415) 655-9122,"['Too different for me. I wanted a traditional ramen and this was not it. Some people may like it but not for me.', 'Bacon Mac Sando!\nThis is the one to order!\nAbsolutely delicious!\nSo generous!\nAnd the service is friendly, welcoming and very helpful. Interesting menu, so...', 'We were really excited for the concept of a place that sold Nashville Fried Chicken and Ramen. In the end it was too good to be true, as neither were as...']"
TlBFKt2N2eSEBpN-UZmDBw,Parada 22,https://s3-media1.fl.yelpcdn.com/bphoto/EV-QYPFFjtdmB4rwtNiAFg/o.jpg,https://www.yelp.com/biz/parada-22-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,1370,Latin American,4,$$,37.769217,-122.4521212,1805 Haight St,San Francisco,CA,US,(415) 750-1111,"[""I'm puerto rifan and finding a place to eat similar food to what you would have at a restaurant in Puerto Rico is hard. This place is great. The food is..."", 'Absolutely delicious Puerto Rican Food!\n\nWe came here on a weekend- there was plenty of indoor and shaded outdoor seating. Service was minimal but adequate....', 'Got the Pollo a la criolla (delicious!) to go, my friend also got the eggplant sandwich and was pretty satisfied with it.\n\nThe fried plantains were...']"
RmiAHDQ9z-qzvA7gcLsUZQ,Unco Frank’s,https://s3-media2.fl.yelpcdn.com/bphoto/Xz2GXXo9RSsFyaG9PHS61w/o.jpg,https://www.yelp.com/biz/unco-frank-s-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,60,Hawaiian,4.5,$$,37.78284886,-122.464117,443 Clement St,San Francisco,CA,US,(510) 279-8642,"[""Ever wish you had delicious Hawaiian cuisine that was more upscale and scrumptious?\n\nThen try Unco Frank's.\n\nThis place is what you would get if you took L..."", 'This place is fantastic \n\nTry these:\n\n-Grilled Kalbi Plate\n-Mac Salad\n-Grilled Teri Chicken Plate', ""this place is,, interesting..? imma give 'em at 3.5 if i could, cus this place is a hit or miss for me. \n\nhawaiian is hard to come by and unco franks was...""]"
vth2jtXfVUCRJeIP680CyA,Udon Mugizo,https://s3-media3.fl.yelpcdn.com/bphoto/7M2QWfxKnGU8qCMl1edeMQ/o.jpg,https://www.yelp.com/biz/udon-mugizo-san-francisco-11?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,1196,Japanese,4,$$,37.78501,-122.431741,1581 Webster St,San Francisco,CA,US,(415) 931-3118,"['Came by again on Saturday around noon to try their limited items and left very satisfied!\n\nSea urchin cream sauce udon: 10/10. Creamy. Udon is to die for--...', ""Came here during the Nihonmachi festival so it was more crowded than usual but the wait wasn't too bad! We originally hoped to get into murufuku but the..."", 'Highly recommend!  This is hands down one of my favorite spots to go.  Put your name down on the iPad and walk around Japantown until they text you.  Lunch...']"
8u7pyRsCdf0DOP-Vg6MuLQ,Purple Rice,https://s3-media1.fl.yelpcdn.com/bphoto/IlTN8YP7QfKme9-ulpeLSg/o.jpg,https://www.yelp.com/biz/purple-rice-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,206,Korean,4.5,$$,37.771917,-122.430753,509 Haight St,San Francisco,CA,US,(415) 932-6257,"[""I wanted BiBimBop & Japchae for dinner. My dining companion didn't know what to expect from Korean food. We each ordered a BiBimBop dinner and a Japchae..."", 'My friends wanted to take me out for dinner on my birthday. I had initially picked a different Korean restaurant, but wanted to make things easier, but...', ""Highly recommended for vegetarians food options! \nTried tofu stew for the first time and loved it :) \n\nThe staff was a bit rude but that's okay.""]"
IoTaMS3mnLh5vq4nfW1y_A,HOT JOHNNIE’S,https://s3-media3.fl.yelpcdn.com/bphoto/TOUJq4da4Lu-fnlouerIhg/o.jpg,https://www.yelp.com/biz/hot-johnnie-s-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,274,Sandwiches,5,$$,37.76083884,-122.4344859,4077 18th St,San Francisco,CA,US,(415) 624-3171,"['Food was amazing! All day brunch and mimosas too. They have a big back patio which we took advantage of. Definitely recommend this place.', ""Hands down one of the best sandwiches I have eaten. I don't even like sandwiches but this is the only sandwich I ever crave. I highly recommend this as the..."", 'Overheard Hot Johnnie\'s: \n\nMy friend when he ate the sandwich: ""Yooo, this is it. I\'m telling all my friends about this place."" (He got the pastrami dutch...']"
kvrQecqdGvnuVICMstZJmA,Dumpling Home,https://s3-media3.fl.yelpcdn.com/bphoto/GAjBPEXegP9_JilXDXpLpg/o.jpg,https://www.yelp.com/biz/dumpling-home-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,584,Dim Sum,4.5,$$,37.77583055,-122.4226361,298 Gough St,San Francisco,CA,US,(415) 503-1666,"['This lived up to the hype! One of the best XLB on the west coast of U S of A. You know its good when you pick it up and it sags without breaking. And theres...', ""Pretty on par with great XLB/shengjianbao I've had in LA/626 or more traditional dimsum restaurants BUT you're definitely paying for it (for SF/Hayes..."", ""One of the BEST shengjian baos (their juicy pork baos) I've ever had!! Crispy bottom with such a juicy filling. Caution: the juice in the dumpling will...""]"
BKIqDQ3CawzwyN9kW1-FQ,Mangrove Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/5p-s9YIaFxhZUpApYtjAcQ/o.jpg,https://www.yelp.com/biz/mangrove-kitchen-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,339,Thai,4,$$,37.77251,-122.43696,312 Divisadero St,San Francisco,CA,US,(415) 552-6881,"['We went on a Saturday night ~8pm and were able to get a large table for 6 of us.\n\nWas a little bit skeptical about getting ramen at a Thai place but was...', 'Service : Wait there a long time to be seated. Plenty empty tables, just due to short handed, no one can lead us to seat\n\nFood :\nPapaya salad: not...', 'I got lunch here while I was visiting San Francisco since they seemed to be vegan friendly and I was craving Thai food. They had both indoor and outdoor...']"
QueFVMcMlT-6aZFv2M47mg,Bottega,https://s3-media2.fl.yelpcdn.com/bphoto/IawDcF1QmHSzUQDczHYVuw/o.jpg,https://www.yelp.com/biz/bottega-san-francisco-2?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,280,Italian,4.5,$$,37.75472,-122.4212,1132 Valencia St,San Francisco,CA,US,(415) 655-9048,"['We came in in ""hanger"" and left satisfied! The owner and staff could not have been nicer and the food was delicious!', ""Visited Bottega today, which has been opened for about 4 months I'm told. I really enjoyed it, so giving them 5 stars! Food was great, staff was very nice..."", 'We are from Vista, CA. Food was phenomenal and the service was outstanding. we tried the pizzas and other dishes. Just a wonderful place to eat at. Highly...']"
2E9O-p-lp587aOMnpLepkQ,JIJIME,https://s3-media4.fl.yelpcdn.com/bphoto/5_sgQlY2DwGMaPsk1qYP9A/o.jpg,https://www.yelp.com/biz/jijime-san-francisco-8?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,467,Korean,4.5,$$,37.78065493,-122.4789496,5524 Geary Blvd,San Francisco,CA,US,(415) 221-5353,"[""I loved the ambience of the restaurant and the food was delish  I plan on returning!!! And the spicy chicken isn't that spicy so don't be scared to order it!!!"", ""A local favorite! \nThe Sizzling Bibimbap (Korean Rice With Mixed Vegetables)  was hands down one of the best meals we've had in SF. Good quality fresh..."", ""Not from San Francisco, but my local friends seem to all rave about this place. I decided I had to try it, and well, it didn't disappoint. I will say the...""]"
BI40rGhpngLNPacrjWpseQ,Dumpling Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/rggI1HG_kaABtAGNiuqF9Q/o.jpg,https://www.yelp.com/biz/dumpling-kitchen-san-francisco?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,1897,Chinese,4,$$,37.7423,-122.48701,1935 Taraval St,San Francisco,CA,US,(415) 682-8938,"[""We where visiting from Arizona, at home we don't have lots of places that do serve vegan dumplings and buns. This place is very welcoming. Food is so good..."", ""Came here yesterday after a haircut. The spicy wonton in chili oil was my least favorite because the sauce wasn't very special. However, the wontons were..."", 'Bit of a wait on a late Sunday afternoon, but good thing we joined the Yelp waitlist. I was excited for the food as the menu and pictures looked good, but...']"
oMlxpjYNPLGV-qAG1mqwPQ,Sol Food,https://s3-media2.fl.yelpcdn.com/bphoto/I_nogPqlfFuttEfy1Jjluw/o.jpg,https://www.yelp.com/biz/sol-food-san-rafael-3?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,4997,Latin American,4,$$,37.97191154,-122.5242838,901 Lincoln Ave,San Rafael,CA,US,(415) 451-4765,"[""Some of these peoples comments in their reviews are ridiculous. They are fools. Don't listen to them. \nSol food has persevered through the pandemic to..."", 'Always been a long wait here everytime we come . For a party of 8 , took much longer wait time !\n\nIt was a late lunch and early dinner for us coming from...', 'My wife and I tried Bistec sandwich (one slice of beef, $14.45), Camarones Criolios plate (5 shrimps, $22.95), Mango iced tea ($4.95), and Coconut pudding...']"
BjlVE7tTp1UCEttgkM1Big,Beit Rima,https://s3-media4.fl.yelpcdn.com/bphoto/qnhe07hneYHMng9qLebLpg/o.jpg,https://www.yelp.com/biz/beit-rima-san-francisco-3?adjust_creative=Sb39Q_neG8ncCfDxiJ2TWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Sb39Q_neG8ncCfDxiJ2TWw,565,Arabic,4.5,$$,37.76872324,-122.4292811,138 Church St,San Francisco,CA,US,(415) 703-0270,"['My friend took me to this place and it was so good I came back the next day, alone. The spices on the hand kneaded bread were very tasty. Every bite created...', ""Amazing food! I'll be back. \n\nChicken Kebab platter - 5.  Next time I'll ask for extra grilled tomatoes, those were amazing. \nMezze Plate - that yogurt!!!..."", 'I was looking for a place to meet my friend for lunch when we both were in town and I suggested that we come here. A restaurant that advertises themselves...']"
