address,ID,categories,city,latitude,longitude,name,postal_code,review_count,stars_business
51 N 12th St,ytynqOUb3hjKeJfRj5Tshw,"Candy Stores, Shopping, Department Stores, Fast Food, Beer, Wine & Spirits, Fruits & Veggies, Chinese, Food, Ice Cream & Frozen Yogurt, Desserts, Seafood, Health Markets, Bagels, Cheese Shops, Shopping Centers, Chocolatiers & Shops, Meat Shops, Public Markets, Food Court, Wineries, Local Flavor, Ethnic Food, Restaurants, Specialty Food, Arts & Entertainment, Juice Bars & Smoothies, Seafood Markets, Farmers Market, Coffee & Tea, Bakeries, Food Stands, Dinner Theater, Sporting Goods, Grocery, Fashion",Philadelphia,39.9533414645,-75.1588545174,Reading Terminal Market,19107,5721,4.5
1237 E Passyunk Ave,PP3BBaVxZLcJU54uP_wL6Q,"Italian, American (Traditional), Sandwiches, Fast Food, Restaurants, Local Flavor, Cheesesteaks",Philadelphia,39.9332010583,-75.159265814,Pat's King of Steaks,19147,4250,3.0
1219 S 9th St,IkY2ticzHEn4QFn8hQLSWg,"Sandwiches, Cheesesteaks, Steakhouses, Restaurants",Philadelphia,39.933836785,-75.1588137524,Geno's Steaks,19147,3401,2.5
121 S 13th St,9PZxjhTIU7OgPIzuGi89Ew,"Lounges, Bars, Nightlife, Breakfast & Brunch, Mexican, Restaurants",Philadelphia,39.9497020026,-75.1617702842,El Vez,19107,3187,4.0
237 St James Pl,ctHjyadbDQAtUFfkcAFEHw,"Nightlife, Bars, Food, Ethnic Food, Middle Eastern, Vegetarian, Specialty Food, Israeli, Restaurants",Philadelphia,39.9462611465,-75.1451350779,Zahav,19106,3065,4.5
110 S 13th St,6ajnOk0GcY9xbb5Ocaw8Gw,"Mediterranean, Restaurants, Pizza, Italian",Philadelphia,39.950007,-75.1621577,Barbuzzo,19107,2893,4.5
227 S 18th St,j-qtdD55OLfSqfsWuQTDJg,"Restaurants, French, Wine Bars, Nightlife, American (New), Bars, Cafes, Breakfast & Brunch",Philadelphia,39.9491724,-75.1707273,Parc,19103,2761,4.0
400 S St,sTPueJEwcRDj7ZJmG7okYA,"Bars, Restaurants, Pizza, Cheesesteaks, Italian, Beer Bar, American (Traditional), Local Flavor, Nightlife, Sandwiches",Philadelphia,39.941498,-75.149272,Jim's South St,19147,2736,3.5
600 Wendover St,RQAF6a0akMiot5lZZnMNNw,"Sandwiches, Delis, Restaurants, Cheesesteaks",Philadelphia,40.029494,-75.2059714,Dalessandro’s Steaks & Hoagies,19128,2686,4.0
212 S 13th St,0RuvlgTnKFbX3IK0ZOOocA,"Restaurants, American (New), Diners, Breakfast & Brunch",Philadelphia,39.9481225533,-75.1624631121,Green Eggs Café,19107,2679,4.0
1020 Race St,AGlh4ZDv6jnoiYfz7At9mw,"Chinese, Restaurants, Dim Sum, Asian Fusion, Shanghainese",Philadelphia,39.955399,-75.156727,Dim Sum Garden,19107,2672,4.0
124 S 18th St,8pqdJjefYq-a9IBSJJmKwA,"British, Restaurants, Gastropubs, Bars, Nightlife",Philadelphia,39.951004,-75.170636,The Dandelion,19103,2497,4.0
1136 Arch St,IWHdx0NhDKADkGOgXgOFKQ,"Restaurants, American (Traditional), Sandwiches",Philadelphia,39.95347837,-75.1593960603,Tommy DiNic's,19147,2221,4.0
1022 Race St,ntiIq1FNqduOyyowMFGh5A,"Specialty Food, Noodles, Ethnic Food, Chinese, Comfort Food, Restaurants, Food",Philadelphia,39.9554005671,-75.1569010986,Nan Zhou Hand Drawn Noodle House,19107,2188,4.0
264 S 16th St,OdIBX09glfXNVSyd0RnIeg,"Nightlife, Pubs, Bars, Belgian, Restaurants, Gastropubs",Philadelphia,39.947701,-75.1682869,Monk's Cafe,19102,2184,4.0
217 Chestnut St,S8ZFYEgMejpChID8tzKo9A,"Spanish, Restaurants, Breakfast & Brunch, Tapas Bars, Iberian",Philadelphia,39.9485863525,-75.1449131188,Amada,19106,2109,4.0
124 S 13th St,kZ1q0K13tFYG_ZJrVvsJHA,"Thai, American (New), Restaurants, Chinese, Asian Fusion, Tapas/Small Plates, Pan Asian",Philadelphia,39.9495313759,-75.1621570259,Sampan,19107,2000,4.0
210 W Washington Sq,i_FWONQD1ZBqrNE2b-M5Ug,"American (New), Restaurants",Philadelphia,39.9473272218,-75.1535421779,Talula's Garden,19106,1927,4.5
723 Chestnut St,6_T2xzR74JqGCTPefAD8Tw,"Japanese, American (Traditional), American (New), Restaurants, Sushi Bars, Asian Fusion",Philadelphia,39.9496652299,-75.1532727008,Morimoto,19106,1914,4.5
39 E Oregon Ave,q-zV08jt6U-q05SMEuQJAQ,"Sandwiches, Fashion, Used, Vintage & Consignment, Cheesesteaks, Restaurants, Breakfast & Brunch, Shopping",Philadelphia,39.9141065086,-75.1487272304,The Original Tony Lukes,19148,1910,4.0
1804 Callowhill St,iUZEGx29miZObLd6_lt7Vg,"Breakfast & Brunch, Restaurants, Vegetarian, Cafes, American (New), Food, Diners, American (Traditional)",Philadelphia,39.9604147854,-75.1686044902,Sabrina's Café,19130,1721,4.0
228 Market St,-mIlmp5l4hKlp1tvHRdvTg,"Cheesesteaks, Comfort Food, Restaurants, Delis, Burgers, American (Traditional), Sandwiches, Local Flavor",Philadelphia,39.9499178538,-75.1447920753,Sonny's Famous Steaks,19106,1697,4.0
204 N 9th St,Sv1MEZP-mMfp8SmE0hwYEA,"Japanese, Ramen, Ethnic Food, Restaurants, Local Flavor, Food, Specialty Food",Philadelphia,39.955402,-75.154484,Terakawa Ramen,19107,1693,4.5
1801 Chestnut St,WxB8498ejPtHE7wFa89_fA,"Breakfast & Brunch, Lounges, Bars, Cocktail Bars, Nightlife, American (Traditional), American (New), Restaurants",Philadelphia,39.9519308,-75.1704529,The Continental Mid-town,19103,1682,3.5
14 E Snyder Ave,LM54ufrINJWoTN5imV8Etw,"Sandwiches, Salad, American (Traditional), Cheesesteaks, Breakfast & Brunch, Active Life, American (New), Beaches, Restaurants",Philadelphia,39.9210273851,-75.1450284438,John's Roast Pork,19148,1564,4.5
325 Chestnut St,nIAbuktMEzVjT4P9pG89rQ,"Restaurants, Asian Fusion, Chinese",Philadelphia,39.9489186,-75.1471667,Buddakan,19106,1561,4.0
118 S 20th St,EtKSTHV5Qx_Q7Aur9o4kQQ,"Bars, Nightlife, Whiskey Bars, Burgers, Restaurants, American (New)",Philadelphia,39.9514165949,-75.1737677917,Village Whiskey,19103,1553,4.0
816 N 4th St,K7KHmHzxNwzqiijSJeKe_A,"Sandwiches, Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, Mediterranean, American (New)",Philadelphia,39.963948,-75.144364,Cafe La Maude,19123,1485,4.5
123 Chestnut St,qISf5ojuYbD9h71NumGUQA,"Beer, Wine & Spirits, Chinese, Restaurants, Food, Szechuan, Noodles, Soup",Philadelphia,39.9485257778,-75.143727802,Han Dynasty,19106,1474,4.0
1632 Sansom St,rgeuy1qbw6Z8B6CSVANHIA,"Donuts, Sandwiches, Soul Food, Food, Coffee & Tea, Restaurants, Chicken Wings",Philadelphia,39.950589,-75.168329,Federal Donuts,19103,1464,4.0
1221 Locust St,2CDI713ATuxHfnB5b-sBdw,"Restaurants, Vegetarian, Beer, Wine & Spirits, Vegan, Food",Philadelphia,39.9479310476,-75.1614279837,Vedge,19107,1447,4.5
1337 Chestnut St,cGX-1IUwXOjkUqZbkKYcjw,"Seafood, Steakhouses, Brazilian, Restaurants",Philadelphia,39.9509166,-75.1629711,Fogo de Chao,19107,1426,4.0
1516 Sansom St,poviu-6n3iaRE4gdQz6OYw,"Restaurants, Steakhouses, Seafood",Philadelphia,39.9502216,-75.166553,Oyster House,19102,1407,4.0
800 N 4th St,cXSyVvOr9YRN9diDkaWs0Q,"Southern, Restaurants, American (Traditional)",Philadelphia,39.96399,-75.1444822,Honey's Sit-N-Eat,19123,1396,4.0
51 N 12th St,atZ_olNKXOG4rEr6mccN8g,"Food, Donuts, Food Stands, Restaurants, Specialty Food, Bakeries, Breakfast & Brunch",Philadelphia,39.953764,-75.159218,Beiler's Bakery,19107,1368,4.5
1500 Walnut St,jkGQQ4_LgJx3hwPtCFkzbQ,"American (Traditional), Restaurants, Desserts, Food, Chocolatiers & Shops, American (New), Specialty Food, Breakfast & Brunch",Philadelphia,39.9491000076,-75.1661748827,Max Brenner - Philadelphia,19102,1358,3.5
1623 Walnut St,R17gwW6zn9ilslbdvKdgsg,"Latin American, Nightlife, Cocktail Bars, Caribbean, Cuban, Restaurants, Bars",Philadelphia,39.9500808,-75.1685265,Alma de Cuba,19103,1321,4.0
108 S 18th St,jxEMFqwDJXjCxmcm5t5jVQ,"Food, Restaurants, Cocktail Bars, Cheesesteaks, Beer, Wine & Spirits, Sports Bars, Lounges, Sandwiches, Nightlife, Bars",Philadelphia,39.9514103,-75.1706011,Cleavers,19103,1304,4.0
1234 Locust St,pXRrRf8fDv6yU3xp1E25hA,"Breakfast & Brunch, Nightlife, Bars, Restaurants, American (Traditional)",Philadelphia,39.947787,-75.162293,Bud & Marilyn's,19107,1303,4.0
3420 Sansom St,ZKPrXH_GNW_AtZ31tP3NmA,"Cocktail Bars, Gluten-Free, Bars, Diners, Vegetarian, Nightlife, Restaurants, American (New), Breakfast & Brunch, American (Traditional), Pubs",Philadelphia,39.9535582,-75.1929054,White Dog Cafe,19104,1301,4.0
1500 Walnut St,0oSSjekU-3GR8gselReWnA,"Restaurants, Steakhouses, American (Traditional)",Philadelphia,39.9493338,-75.1661758,Butcher and Singer,19102,1290,4.5
224 S 15th St,Iw8uqNPxviwcgxtruAx_LA,"American (Traditional), Restaurants, Bars, Nightlife, Burgers, Sandwiches, Soup, Pubs",Philadelphia,39.948793,-75.1662055,Good Dog Bar,19102,1279,4.0
1141 Pine St,GoYSJ-YY-YwbxdgasHuq-Q,"Latin American, Argentine, Restaurants, Breakfast & Brunch, Italian, Cuban, Caribbean",Philadelphia,39.945195,-75.161082,Mixto,19107,1246,4.0
926 Race St,qY-BUQY-SFBaSrFHowF3nA,"Korean, Restaurants, Chinese, Barbeque, Hot Pot",Philadelphia,39.9550836837,-75.1552917273,Nine Ting,19107,1213,4.0
10 S 2nd St,JHRlwxxKY0JJcU97rJ-Bug,"Nightlife, Cuban, Breakfast & Brunch, Latin American, Restaurants, Dance Clubs, Shopping, Bars, Beer, Wine & Spirits, Food",Philadelphia,39.949589,-75.14391,Cuba Libre Restaurant & Rum Bar - Philadelphia,19106,1195,3.5
428 N 13th St,TwnzM8mJn_nT2PJf1x-9kQ,"Caterers, American (New), Breakfast & Brunch, Event Planning & Services, Diners, Restaurants",Philadelphia,39.960346,-75.159706,Cafe Lift,19123,1189,4.0
910 Christian St,K3RURR9lIEE4JjOaPt99zg,"Vegetarian, Breakfast & Brunch, American (New), Coffee & Tea, American (Traditional), Caterers, Food, Cafes, Event Planning & Services, Restaurants, Diners",Philadelphia,39.938871,-75.158236,Sabrina's Café,19147,1176,4.0
130 S 17th St,30cpm1uq6xcQCmN6JTrB8w,"Sandwiches, Seafood, Restaurants",Philadelphia,39.9505067,-75.1691375,Luke's Lobster Rittenhouse,19103,1161,4.5
225 S 18th St,aUoMG97DMJG4nmwhT6z1zA,"Bars, Restaurants, Nightlife, Seafood",Philadelphia,39.94949,-75.17066,Devon Seafood Grill,19103,1159,3.5
1234 Locust St,lKU_kljhbEQKIPaM1Zbqiw,"Restaurants, Italian",Philadelphia,39.947786438,-75.1618928091,Little Nonna's,19107,1147,4.0
700 Chestnut St,d_tRshM-w6S4QxE4VVi8tQ,"American (New), Restaurants, Southern, Diners, American (Traditional)",Philadelphia,39.9493144,-75.1525254,Jones,19106,1141,3.5
120 S 13th St,Ipkx4Sa7ybn8C6LtTqTztw,"Nightlife, Sushi Bars, Cafes, Japanese, Bars, Restaurants",Philadelphia,39.9496993,-75.162185,Double Knot,19107,1140,4.5
1716 Chestnut St,-cEFKAznWmI0cledNOIQ7w,"Restaurants, Gelato, Coffee & Tea, Food, Italian, Bakeries",Philadelphia,39.9512789,-75.1695181,Gran Caffe L'Aquila,19103,1138,4.5
1428-1432 Chestnut St,4R2KR_-FybS7oegGrXjHVg,"Food, Restaurants, Seafood, Specialty Food, Steakhouses, American (Traditional)",Philadelphia,39.9509564,-75.1654591,Del Frisco's Double Eagle Steakhouse,19102,1129,4.0
146 N 10th St,iksVwRfpWymIUUFqw0tXpw,"Restaurants, Bars, Seafood, Japanese, Hot Pot, Nightlife, Chinese, Conveyor Belt Sushi, Mongolian, Asian Fusion",Philadelphia,39.9550104,-75.1561342,Chubby Cattle,19107,1128,4.5
1528 Frankford Ave,vUrTGX_7HxqeoQ_6QCVz6g,"Active Life, Beer Gardens, Grocery, Middle Eastern, Specialty Food, American (New), Parks, Cafes, Food, Nightlife, Restaurants, Coffee & Tea, Lebanese",Philadelphia,39.9736865005,-75.1339557767,Suraya,19125,1121,4.5
117 N 10th St,eaDZlSuVS0EY67Ke6pRP6Q,"Malaysian, Asian Fusion, Cambodian, Chinese, Restaurants, Thai",Philadelphia,39.954044,-75.15598,Penang,19107,1112,3.5
205 South 13th St,-0TffRSXXIlBYVbb5AwfTg,"Cocktail Bars, Food Delivery Services, Nightlife, Breakfast & Brunch, Food, Bars, Event Planning & Services, Caterers, Restaurants, Indian",Philadelphia,39.9485078263,-75.1619688173,IndeBlue Modern Indian Food & Spirits,19107,1097,4.5
15 S 3rd St,fOhnSqmO4XY5vSI8whVKSA,"Breakfast & Brunch, American (New), Mexican, French, Restaurants, Italian",Philadelphia,39.9496993,-75.1457815,Farmicia,19146,1094,4.0
